1	0018
5052	0496
10103	0900
15154	3051
20205	4267
25256	6661
30307	7958
35358	0288
40409	0693
45460	2286
50511	2493
55562	4851
60613	4996
65664	6723
70715	7100
75766	7399
80817	7533
85868	8091
95970	9225
101021	0133
106072	1141
111123	1240
116174	1736
121225	5336
126276	6047
131327	8234
136378	0097
141429	1249
146480	1762
151531	3111
156582	3526
161633	4255
166684	4471
171735	6235
176786	6442
181837	6811
186888	7018
191939	0735
196990	1518
202041	2139
207092	2904
212143	5389
217194	6991
222245	7116
227296	9862
232347	1364
237398	2381
242449	2417
247500	2967
252551	4415
257602	4901
262653	5171
267704	6585
272755	7007
277806	7124
282857	9726
287908	0661
292959	0869
298010	1723
303061	4081
308112	4478
313163	7240
318214	8276
323265	8942
328316	2596
333367	3658
338418	4774
343469	4855
348520	5584
353571	7492
358622	8518
363673	0065
368724	1127
373775	2630
378826	2991
383877	3189
388928	4089
393979	5088
399030	5097
400102	5105
405153	5439
410204	6177
415255	6681
420306	7338
425357	9624
430408	2350
435459	2495
440510	3890
445561	4466
450612	5096
454591	5357
459642	5771
464693	6671
469744	6761
474795	7049
479846	7959
484848	8237
489899	8471
494950	8741
