5051	0018
5051	0496
5051	0900
5051	3051
5051	4267
5051	6661
5051	7958
5051	0288
5051	0693
5051	2286
5051	2493
5051	4851
5051	4996
5051	6723
5051	7100
5051	7399
5051	7533
10102	8091
5051	9225
5051	0133
5051	1141
5051	1240
5051	1736
5051	5336
5051	6047
5051	8234
5051	0097
5051	1249
5051	1762
5051	3111
5051	3526
5051	4255
5051	4471
5051	6235
5051	6442
5051	6811
5051	7018
5051	0735
5051	1518
5051	2139
5051	2904
5051	5389
5051	6991
5051	7116
5051	9862
5051	1364
5051	2381
5051	2417
5051	2967
5051	4415
5051	4901
5051	5171
5051	6585
5051	7007
5051	7124
5051	9726
5051	0661
5051	0869
5051	1723
5051	4081
5051	4478
5051	7240
5051	8276
5051	8942
5051	2596
5051	3658
5051	4774
5051	4855
5051	5584
5051	7492
5051	8518
5051	0065
5051	1127
5051	2630
5051	2991
5051	3189
5051	4089
5051	5088
1072	5097
5051	5105
5051	5439
5051	6177
5051	6681
5051	7338
5051	9624
5051	2350
5051	2495
5051	3890
5051	4466
3979	5096
5051	5357
5051	5771
5051	6671
5051	6761
5051	7049
5002	7959
5051	8237
5051	8471
